Branch,CPU,RAM,Storage,GPU,Screen,Pin,Status,Price
Asus,Core i5-13500H,8 GB,SSD 512GB,Intel Iris Xe Graphics,14.5 inch 2K+,70 WHrs,New,15.000.000
Dell,Core i5-1335U,8 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD cảm ứng,4 Cell 54 Wh,New,15.900.000
Lenovo,AMD Ryzen 5-7535HS,8 GB,SSD 512GB,Nvidia GeForce RTX 2050 4GB,15.6 inch Full HD,Integrated 45Wh,New,15.700.000
Lenovo,Core i5-12450H,8 GB,SSD 512GB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,Integrated 60Wh,New,18.900.000
Lenovo,Core i5-13420H,8 GB,SSD 1TB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,Integrated 60Wh,New,19.500.000
Lenovo,Ryzen 7-7840HS,8 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,Integrated 60Wh,New,20.500.000
Dell,Core i5-13450HX,8 GB,SSD 512GB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,20.900.000
Dell,Core i5-13450HX,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,21.600.000
Dell,Core i5-13450HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,23.600.000
Dell,Core i7-13650HX,8 GB,SSD 1TB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,24.900.000
Dell,Core i7-13650HX,16 GB,SSD 1TB,Nvidia GeForce RTX 4060 8GB,15.6 inch Full HD,3 Cell 56WHrs,New,28.900.000
Acer,Core i5-13500HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,21.500.000
Acer,Core i5-13500HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,24.200.000
Acer,Core i7-13700HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,25.700.000
Acer,Core i7-13700HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,28.900.000
Acer,Core i9-13900HX,16 GB,SSD 1TB,Nvidia GeForce RTX 4060 8GB,16 inch 2.5K,"4-cell, 90 Wh",New,32.800.000
HP,AMD Ryzen 3 3300U,8 GB,SSD 256GB,AMD Radeon Vega 6 Graphics,15.6 inch Full HD,"3-cell, 41 Wh Li-ion",New,7.900.000
Lenovo,Core i3-1115G4,8 GB,SSD 128GB,Intel UHD Graphics,15.6 inch Full HD,2 Cells 38WHrs,New,7.900.000
Dell,AMD Athlon Silver 3050U,8 GB,SSD 256GB,AMD Radeon Vega 8,15.6 inch HD,41 Wh,New,8.800.000
Dell,AMD Ryzen 5-3500U,8 GB,SSD 256GB,AMD Radeon Vega 8,15.6 inch HD,41 Wh,New,10.200.000
Asus,Core i5-13500H,8 GB,SSD 512GB,Intel Iris Xe Graphics,14.5 inch 2K+,70 WHrs,New,15.000.000
Dell,Core i5-1335U,8 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD cảm ứng,4 Cell 54 Wh,New,15.900.000
Asus,Core i5-10300H,8 GB,SSD 512GB,Nvidia GeForce GTX 1650 4GB,15.6 inch Full HD,3 Cell 48WHr,New,11.700.000
Asus,Core i5-10200H,8 GB,SSD 512GB,Nvidia GeForce GTX 1650Ti 4GB,15.6 inch Full HD,3 Cell 48WHr,New,12.100.000
Asus,Core i7-10870H,8 GB,SSD 512GB,Nvidia Geforce GTX 1660Ti 6GB,15.6 inch Full HD,3 Cell 48WHr,New,13.700.000
Lenovo,AMD Ryzen 5-7535HS,8 GB,SSD 512GB,Nvidia GeForce RTX 2050 4GB,15.6 inch Full HD,Integrated 45Wh,New,15.700.000
MSI,Core i5-12450H,8 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,3-Cell 53.5 Battery (Whr),New,20.500.000
Lenovo,Core i5-12450H,8 GB,SSD 512GB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,Integrated 60Wh,New,18.900.000
